tic_id,gaia_id,pl_orbper,pl_radj,pl_massj,pl_dens,pl_orbeccen,pl_eqt,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,st_teff,st_rad,st_mass,st_lum,ra,dec,sy_pmra,sy_pmdec,sy_dist
TIC 281909674,Gaia DR2 3101974231859723776,4.03519,0.885,1.308,2.34,0,1700,,3.14,10.81,0.0909,5945,1.01,1.09,,102.7211432,-5.0864557,1.63671,-3.25693,1148.93
TIC 281909674,Gaia DR2 3101974231859723776,4.03519,1.252,1.312,0.82,,1432,,,8.6133,,5945,1.27,1.09,,102.7211432,-5.0864557,1.63671,-3.25693,1148.93
TIC 281909674,Gaia DR2 3101974231859723776,4.03519,0.885,1.331,2.38,0.067,,,,,,5945,1.01,1.09,,102.7211432,-5.0864557,1.63671,-3.25693,1148.93
TIC 282706928,Gaia DR2 3101145195794755072,1.51214,1.09,7.6,7.3,0,1952,,1.662,4.78,0.0925,6035,1.21,1.13,,103.4242023,-5.5360385,-0.118627,-3.60155,1744.6
TIC 282706928,Gaia DR2 3101145195794755072,1.51214,1.018,7.67,9,,1936,,,4.854,,6035,1.19,1.12,,103.4242023,-5.5360385,-0.118627,-3.60155,1744.6
TIC 282706928,Gaia DR2 3101145195794755072,1.51214,1.09,7.42,7.1,0.036,,,,,,6040,1.21,1.13,,103.4242023,-5.5360385,-0.118627,-3.60155,1744.6
TIC 218299481,Gaia DR2 4256135160951556480,5.35227,1.17,0.535,0.44,0.33,,1.02,2.39,11.2,0.101,5650,1.19,1.1,,278.5246658,-6.0026026,0.936538,-8.04327,732.409
TIC 218299481,Gaia DR2 4256135160951556480,5.35227,1.17,0.529,0.41,0.37,,,,,,5650,1.19,1.1,,278.5246658,-6.0026026,0.936538,-8.04327,732.409
TIC 218299312,Gaia DR2 4255957040079935488,3.7681,1.02,2.41,2.81,0.081,,,,,,5740,1.59,1.04,,278.699236,-6.612288,-4.54107,-8.05028,1176.12
TIC 218299312,Gaia DR2 4255957040079935488,3.7681,1.007,2.46,3.0058,,1610,,,6.369,,5740,1.62,1.04,,278.699236,-6.612288,-4.54107,-8.05028,1176.12
TIC 218299312,Gaia DR2 4255957040079935488,3.7681,1.02,2.43,2.82,0,1626,0.44,4.72001,6.23,,5740,1.59,1.04,,278.699236,-6.612288,-4.54107,-8.05028,1176.12
TIC 37168957,Gaia DR2 3120058170178779392,1.9000693,1.31,3.46,1.91,0.025,,,,,,5440,1,0.95,,98.1724172,-0.0316045,2.33468,-3.2603,764.889
TIC 37168957,Gaia DR2 3120058170178779392,1.9000693,1.31,3.47,2.2,0.08,1550,,2.387,6.35,0.1341,5440,1,0.95,,98.1724172,-0.0316045,2.33468,-3.2603,764.889
TIC 37168957,Gaia DR2 3120058170178779392,1.90009,1.146,3.3,2.73,,1487,,,7.013,0.1331,,0.88,0.88,-0.17,98.1724172,-0.0316045,2.33468,-3.2603,764.889
