tic_id,gaia_id,pl_orbper,pl_radj,pl_massj,pl_dens,pl_orbeccen,pl_eqt,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,st_teff,st_rad,st_mass,st_lum,ra,dec,sy_pmra,sy_pmdec,sy_dist
TIC 336732544,Gaia DR2 6806639397331208320,3.2768837,1.055,0.179,0.076,0.298,1237,,2.76528,9.59,0.1159,5416,0.93,0.9,-0.173,312.4493079,-24.303506,0.489403,-8.07444,523.067
TIC 178879588,Gaia DR2 4891362198412001408,3.0566527,1.207,0.96,0.67,0.136,1398,,2.448,8.09,0.1159,5627,1.07,0.93,0.012,67.418582,-28.1972149,5.77698,16.8096,623.232
TIC 189625051,Gaia DR2 5632704511826797824,4.908897,1.679,0.96,0.245,0.151,1793,,5.8056,6.68,0.0817,6554,2.11,1.56,0.867,144.2876092,-29.800444,-3.12654,-1.52699,1080.15
TIC 169504920,Gaia DR2 6766134630213144704,3.105161,1.501,0.821,0.3,0.062,1634,,2.8848,7.38,0.1181,6277,1.31,1.26,0.377,292.9397825,-26.7402021,-3.49486,-0.157955,493.32
TIC 52689469,Gaia DR2 5582647836223843840,3.1414391,1.411,5.33,2.34,0.064,1998,,4.5432,5.5,0.0787,6626,1.84,1.41,0.767,101.3948048,-33.8816918,-3.36901,2.54863,1477.98
TIC 272212970,Gaia DR2 6144060260072337024,1.6091788,1.685,1.45,0.374,0.057,2193,,1.9464,4.526,0.1201,6594,1.44,1.44,0.547,180.2087883,-46.1364201,-6.08239,0.801406,960.109
TIC 322307342,Gaia DR2 4904279261014267648,3.5862202,1.232,1.29,0.856,0.036,1741,,3.42,6.232,0.0725,6147,1.75,1.35,0.592,15.006077,-58.9047242,22.5217,7.59426,603.955
TIC 467971286,Gaia DR2 6445881974332225536,2.2252577,0.945,0.577,0.46,0.519,1296,,2.35776,7.859,0.1105,5137,0.88,0.89,-0.318,289.2974275,-60.8917599,8.69887,-17.8867,414.537
TIC 220029715,Gaia DR2 6288858347945925504,3.185315,0.563,0.12,0.83,0.17,1084,,2.2992,10.59,0.0711,4985,0.81,0.85,-0.434,208.8567465,-21.2078587,-43.1251,-36.6935,240.707
TIC 220029715,Gaia DR2 6288858347945925504,3.185315,0.563,0.123,0.88,0.12,,,,,,4985,0.81,0.85,,208.8567465,-21.2078587,-43.1251,-36.6935,240.707
TIC 98545929,Gaia DR2 5605119586158973440,1.8882378,1.384,12.9,6.64,0.18,2730,,3.624,4.17,0.074,7930,1.88,1.78,1.079,109.1045212,-31.2443947,-2.41999,2.43999,1458.83
TIC 234523599,Gaia DR2 4710594412266148352,3.7955202,1.024,0.37,0.42,0,587,,2.0148,16.84,0.2202,3405,0.48,0.49,-1.56,15.5518893,-61.7561333,78.8583,-27.0947,140.225
TIC 188570092,Gaia DR2 2594869603582993792,7.3279474,0.722,0.1254,0.411,0.013,739,,3.08472,19.821,0.1029,4656.1,0.72,0.73,-0.659,339.0258401,-17.0003046,-108.621,-84.412,127.589
TIC 219189765,Gaia DR2 3545653561942122368,1.73185606,1.032,1.46,1.64,0.044,895,,1.65336,8.9,0.1844,3776.9,0.58,0.6,-1.216,171.0147921,-19.5569588,-38.8574,39.6792,299.389
TIC 44737596,Gaia DR2 5082914338199586560,2.7886556,0.884,0.491,0.878,0.064,772,,1.91256,12.037,0.1555,3790.4,0.58,0.6,-1.197,60.9493919,-25.4089214,12.8716,-1.75264,194.964
TIC 170849515,Gaia DR2 4877426575724467456,1.9416423,1.079,2.629,2.58,0.062,940,,1.8576,9.12,0.1772,4016,0.63,0.66,-1.038,70.3397665,-32.3204175,-5.42928,-38.609,385.689
TIC 11561667,Gaia DR2 5466556141521710592,3.0876262,1.165,1.374,1.077,0.045,828,,2.22768,12.06,0.1865,4071,0.64,0.66,-0.992,149.8236672,-27.3928174,-24.6346,-8.28623,436.176
TIC 96847781,Gaia DR2 6767008363999712512,3.583893,0.873,0.138,0.259,0.376,1324,,3.0312,9.21,0.0814,5679,1.09,1.06,,294.9416887,-25.7483655,-6.46853,-6.88616,794.637
TIC 96847781,Gaia DR2 6767008363999712512,3.583893,0.873,0.145,0.277,0.25,,,,,,5679,1.09,1.06,,294.9416887,-25.7483655,-6.46853,-6.88616,794.637
TIC 12611594,Gaia DR2 4083159643769233408,1.9153073,1.065,0.837,0.85,0.129,1823,,3.4968,4.36,0.0725,5366,1.5,1.03,0.23,290.8101704,-20.1663771,8.56622,-6.99228,638.7
TIC 12611594,Gaia DR2 4083159643769233408,1.9153073,1.065,0.823,0.84,0.075,,,,,,5366,1.5,1.03,,290.8101704,-20.1663771,8.56622,-6.99228,638.7
TIC 12611594,Gaia DR2 4083159643769233408,1.915311,1.172,0.816,0.626,,,,3.50832,,0.08316,5494,1.58,0.96,0.312,290.8101704,-20.1663771,8.56622,-6.99228,638.7
TIC 56815340,Gaia DR2 3698307419878650240,9.55237,0.218,0.03964,4.7,0.093,1153,,3.775,15.07,0.01728,6327,1.3,1.09,,183.4724742,-0.3934357,-2.66228,11.9879,109.353
TIC 56815340,Gaia DR2 3698307419878650240,21.05704,0.388,0.04782,1.01,0.22,886,,4.638,25.5,0.03086,6327,1.3,1.09,,183.4724742,-0.3934357,-2.66228,11.9879,109.353
TIC 73228647,Gaia DR2 6133384959942131968,2.541,0.183,0.01432,2.9,0.093,1371,,2.376,,0.018,5732,0.97,1,,190.0365636,-44.3120777,-3.72326,-13.6843,106.307
TIC 441546821,Gaia DR2 6055854551117476480,109.75,1,8,,0.395,,,,70.4,0.06718,6651,1.49,1.47,0.583,197.3171237,-60.3084347,-39.6103,-20.1315,95.3906
TIC 136916387,Gaia DR2 5902750168276592256,11.57779,0.132,0.01454,7.8,0.079,911,0.018,3.936,20.6,0.01343,5850,1.01,0.91,0.034,230.4401147,-48.3188174,-1624.05,-276.024,14.682
TIC 136916387,Gaia DR2 5902750168276592256,11.57797,0.148,0.01485,5.62389,0,905,0.0208,3.935,19.6,0.01442,5664,1.06,0.87,0.016,230.4401147,-48.3188174,-1624.05,-276.024,14.682
TIC 136916387,Gaia DR2 5902750168276592256,27.5909,0.233,0.03552,3.5,0.037,682,0.0558,3.2088,36.76,0.02363,5850,1.01,0.91,0.034,230.4401147,-48.3188174,-1624.05,-276.024,14.682
TIC 136916387,Gaia DR2 5902750168276592256,27.59221,0.26,0.03536,2.49767,0,677,0.0638,3.251,34.97,0.02526,5664,1.06,0.87,0.016,230.4401147,-48.3188174,-1624.05,-276.024,14.682
TIC 136916387,Gaia DR2 5902750168276592256,107.245,0.229,0.02775,2.87811,0,431,0.0492,8.87,86.46,0.02219,5664,1.06,0.87,0.016,230.4401147,-48.3188174,-1624.05,-276.024,14.682
TIC 346250894,Gaia DR2 6258810550587404672,1.62116,0.117,0.01271,10.49,0,2130,0.00575,3.28,3.7,0.0076,5799,1.59,1.04,,231.7420543,-16.5090014,20.5385,-46.8641,155.317
TIC 394137592,Gaia DR2 4707634458245031552,11.5366,1.023,0.367,,0.216,1519,,,9.22,0.0449,5474,2.34,1.26,0.635,4.4471631,-66.3589285,64.7627,-5.0556,79.5702
TIC 394137592,Gaia DR2 4707634458245031552,11.53533,1.026,0.415,0.477,0.251,1228,0.2037,8.6016,10.1,0.04513,5521,2.34,1.32,0.66,4.4471631,-66.3589285,64.7627,-5.0556,79.5702
TIC 255930614,Gaia DR2 1331356474971716992,2.8758911,0.813,0.368,0.85,,,,3.24,6.01,0.05416,6160,1.54,1.34,0.48,247.6229827,38.3475349,-77.8994,52.5643,75.8643
TIC 255930614,Gaia DR2 1331356474971716992,2.87589,0.74,0.38,,0,,0.29,,6.8,,6179,1.41,1.42,,247.6229827,38.3475349,-77.8994,52.5643,75.8643
TIC 255930614,Gaia DR2 1331356474971716992,2.8758916,0.811,0.322,0.75,0.013,,,,,,6160,1.53,1.34,,247.6229827,38.3475349,-77.8994,52.5643,75.8643
TIC 255930614,Gaia DR2 1331356474971716992,2.8758911,0.61,0.356,2.0881,,1626,,,7.143,,6147,1.29,1.27,,247.6229827,38.3475349,-77.8994,52.5643,75.8643
TIC 255930614,Gaia DR2 1331356474971716992,2.87598,0.654,0.359,1.59,,1634,,,7.11,0.0491,6160,1.37,1.29,0.386,247.6229827,38.3475349,-77.8994,52.5643,75.8643
TIC 349488688,Gaia DR2 4564566554995619072,11.6264,0.304,0.03637,1.58,0.14,,,5.53,,0.02201,6310,1.43,1.15,,253.7848853,20.491524,14.7553,44.6894,107.898
TIC 349488688,Gaia DR2 4564566554995619072,24.38,0.52,0.08652,0.82,0.115,,,6.359,,0.03764,6310,1.43,1.15,,253.7848853,20.491524,14.7553,44.6894,107.898
TIC 120896927,Gaia DR2 5068777809824976256,4.75615,0.146,0.02363,9.3,0.09,1001,,2.49,13.11,0.01761,5125,0.86,0.9,,36.8678846,-27.6361171,-73.5903,-211.614,44.8155
TIC 120896927,Gaia DR2 5068777809824976256,4.75642,0.152,0.02265,8.05,0.17,1006,0.0344,2.5536,13.43,0.01856,5131,0.84,0.85,-0.326,36.8678846,-27.6361171,-73.5903,-211.614,44.8155
TIC 120896927,Gaia DR2 5068777809824976256,17.1784,0.213,0.02552,3.23,0.05,642,,2.25,31.87,0.0256,5125,0.86,0.9,,36.8678846,-27.6361171,-73.5903,-211.614,44.8155
TIC 120896927,Gaia DR2 5068777809824976256,17.1784,0.225,0.02766,3.02,0.19,656,0.0758,2.232,31.63,0.02754,5131,0.84,0.85,-0.326,36.8678846,-27.6361171,-73.5903,-211.614,44.8155
TIC 302773669,Gaia DR2 545560867790611072,21.2163979,1.095,3.191,,0.6768,,,3.1435,23.19,0.07454,,1.51,1.27,,42.4366123,71.7530882,90.9819,-33.1973,78.0863
TIC 302773669,Gaia DR2 545560867790611072,21.21663,1.02,3.22,3.78,0.6819,,,3.21,,0.0727,6100,1.44,1.24,0.412,42.4366123,71.7530882,90.9819,-33.1973,78.0863
TIC 302773669,Gaia DR2 545560867790611072,21.216398,1.065,3.262,3.35,,883,,,23.6855,,6079,1.49,1.3,,42.4366123,71.7530882,90.9819,-33.1973,78.0863
TIC 302773669,Gaia DR2 545560867790611072,21.21663,1.1,3.51,,0.68,,0.53,,23.34,,6040,1.55,1.41,,42.4366123,71.7530882,90.9819,-33.1973,78.0863
TIC 302773669,Gaia DR2 545560867790611072,21.216398,1.087,3.235,3.123,0.6703,,,,,,6079,1.5,1.27,,42.4366123,71.7530882,90.9819,-33.1973,78.0863
TIC 320004517,Gaia DR2 6641996571978861440,17.471275,0.315,0.03524,1.4,0,748,,,29,0.03319,5706,0.97,1.03,,293.2866147,-54.5327284,108.439,-82.6324,57.2651
TIC 320004517,Gaia DR2 6641996571978861440,17.471278,0.317,0.06198,2.39,0.28,769,,4.36,29.1,0.033,5788,0.98,1.03,0.012,293.2866147,-54.5327284,108.439,-82.6324,57.2651
TIC 207141131,Gaia DR2 4728513943538448512,4.1374354,0.232,0.07583,7.5,0.34,,,2.06,14.1,0.0309,5145,0.77,0.86,-0.429,44.2620144,-56.1918694,-36.6762,50.5989,38.5653
TIC 207141131,Gaia DR2 4728513943538448512,4.137437,0.241,0.08023,7.1,0.2,863,,,13.78,0.0311,5083,0.8,0.81,,44.2620144,-56.1918694,-36.6762,50.5989,38.5653
TIC 256364928,Gaia DR2 1827242816201846144,2.2185752,1.138,1.123,0.943,0.0039,,,,,,5040,0.76,0.81,,300.1821223,22.7097759,-3.29445,-250.225,19.7638
TIC 256364928,Gaia DR2 1827242816201846144,2.21857578,1.151,1.15,1.004,,1191,,,8.9847,,5050,0.75,0.84,,300.1821223,22.7097759,-3.29445,-250.225,19.7638
TIC 256364928,Gaia DR2 1827242816201846144,2.2,1.1,1.1,0.96,0,1200,,,,,,,,,300.1821223,22.7097759,-3.29445,-250.225,19.7638
TIC 256364928,Gaia DR2 1827242816201846144,2.218577,1.119,1.166,1.031,,1209,2.26,1.8408,8.73,0.1504,5050,0.77,0.81,-0.465,300.1821223,22.7097759,-3.29445,-250.225,19.7638
TIC 256364928,Gaia DR2 1827242816201846144,2.218573,1.138,1.144,0.963,,1201,2.3,,8.81,0.15463,5040,0.76,0.81,-0.48,300.1821223,22.7097759,-3.29445,-250.225,19.7638
TIC 256364928,Gaia DR2 1827242816201846144,2.22,1.14,1.14,,,1200,,,,,5023,0.78,0.84,-0.461,300.1821223,22.7097759,-3.29445,-250.225,19.7638
TIC 256364928,Gaia DR2 1827242816201846144,,1.216,1.162,0.805,,,,,,0.15531,4875,0.81,0.85,-0.484,300.1821223,22.7097759,-3.29445,-250.225,19.7638
TIC 256364928,Gaia DR2 1827242816201846144,2.21857567,1.13,1.13,,0,,2.4,,8.84,,5052,0.75,0.79,,300.1821223,22.7097759,-3.29445,-250.225,19.7638
TIC 256364928,Gaia DR2 1827242816201846144,2.219,1.26,1.15,0.75,0,,,,,0.172,5050,0.76,0.82,,300.1821223,22.7097759,-3.29445,-250.225,19.7638
TIC 269701147,Gaia DR2 2248126315275354496,8.88029,0.302,0.03272,1.5,0,893,,3.1,,0.0336,5348,0.94,0.81,-0.187,302.0256247,66.8503014,150.256,-63.909,53.6089
TIC 269701147,Gaia DR2 2248126315275354496,8.8803256,0.304,0.03146,1.4,0.031,880,,2.939,18.36,0.03319,5348,0.94,0.81,-0.187,302.0256247,66.8503014,150.256,-63.909,53.6089
TIC 269701147,Gaia DR2 2248126315275354496,28.5805,0.275,0.02265,1.4,0,605,,4.5,,0.0306,5348,0.94,0.81,-0.187,302.0256247,66.8503014,150.256,-63.909,53.6089
TIC 269701147,Gaia DR2 2248126315275354496,28.579743,0.285,0.02517,1.35,0.034,600,,4.162,40,0.03118,5348,0.94,0.81,-0.187,302.0256247,66.8503014,150.256,-63.909,53.6089
TIC 269701147,Gaia DR2 2248126315275354496,38.353037,0.267,0.00881,0.57,0.031,540,,5.36,48.7,0.02916,5348,0.94,0.81,-0.187,302.0256247,66.8503014,150.256,-63.909,53.6089
TIC 269701147,Gaia DR2 2248126315275354496,38.3525,0.271,0.01825,0.5,0,549,,5.5,,0.0302,5348,0.94,0.81,-0.187,302.0256247,66.8503014,150.256,-63.909,53.6089
TIC 290131778,Gaia DR2 6790773586275235200,3.308958,1.545,1.017,0.343,0.038,2132,0.3755,5.6304,4.33,0.06128,6272,2.59,1.72,0.971,319.6995877,-26.6163743,23.2358,-57.5565,161.498
TIC 25559430,Gaia DR2 1846882224145757056,,1.29,11,,,1040,,,,,,,,,319.7432238,26.2305846,133.593,9.56275,39.2503
TIC 333657795,Gaia DR2 30398648945512960,0.926118,0.153,0.02335,8.06,0,2141,,1.26,3.42,0.0139,5596,1.13,0.9,0.049,49.178124,15.6563542,111.854,-202.255,63.6796
TIC 155782207,Gaia DR2 6843672087120107264,9350,1.25,28,,0.14,1429,,,,,,,1.32,,326.3416874,-12.7833522,93.7762,0.0161577,40.7583
TIC 155782207,Gaia DR2 6843672087120107264,2090,1.46,12.7,,0.41,1182,,,,,,,1.32,,326.3416874,-12.7833522,93.7762,0.0161577,40.7583
TIC 264678534,Gaia DR2 2300641567596591488,16.202159,0.223,0.04531,5.05,0.047,632,0.0866,2.911,32.13,0.02943,5070,0.78,0.8,-0.444,325.2016451,84.3337613,345.178,63.044,28.2938
TIC 420814525,Gaia DR2 1779546757669063552,3.52474859,1.38,0.714,0.362,,1459,,,8.78426,,6117,1.16,1.15,,330.7950219,18.8842419,29.5787,-17.8904,48.3016
TIC 420814525,Gaia DR2 1779546757669063552,3.52474859,1.359,0.682,0.333,0.0081,,,,,,6065,1.16,1.12,,330.7950219,18.8842419,29.5787,-17.8904,48.3016
TIC 420814525,Gaia DR2 1779546757669063552,,1.41,0.74,0.32,,,,,8.76,0.12086,6071,1.2,1.26,0.248,330.7950219,18.8842419,29.5787,-17.8904,48.3016
TIC 420814525,Gaia DR2 1779546757669063552,3.5,1.4,0.69,0.34,0,1450,,,,,,,,,330.7950219,18.8842419,29.5787,-17.8904,48.3016
TIC 420814525,Gaia DR2 1779546757669063552,3.52,1.36,0.69,,,1450,,,,,6052,1.19,1.13,0.231,330.7950219,18.8842419,29.5787,-17.8904,48.3016
TIC 420814525,Gaia DR2 1779546757669063552,3.52474859,1.39,0.73,,0,,1.5,,8.81,,6091,1.19,1.23,,330.7950219,18.8842419,29.5787,-17.8904,48.3016
TIC 420814525,Gaia DR2 1779546757669063552,3.5239,1.42,0.62,0.27,0,,1.58,,,,6025,1.15,1.03,,330.7950219,18.8842419,29.5787,-17.8904,48.3016
TIC 420814525,Gaia DR2 1779546757669063552,3.524746,1.359,0.685,0.338,,1449,1.55,,8.76,0.12086,6065,1.16,1.12,0.21,330.7950219,18.8842419,29.5787,-17.8904,48.3016
TIC 420814525,Gaia DR2 1779546757669063552,,1.42,0.685,,,,,,,,5998,1.18,1.06,0.208,330.7950219,18.8842419,29.5787,-17.8904,48.3016
TIC 420814525,Gaia DR2 1779546757669063552,,1.451,0.64,0.261,,,,,,0.12403,6092,1.2,1,0.252,330.7950219,18.8842419,29.5787,-17.8904,48.3016
TIC 420814525,Gaia DR2 1779546757669063552,3.525,1.27,0.63,0.38,,,,,,,6000,1.1,1.1,,330.7950219,18.8842419,29.5787,-17.8904,48.3016
TIC 403224672,Gaia DR2 6407428994690988928,1.008035,0.156,0.02778,9.15,0,2128,0.02,,3.927,0.01453,5978,1.1,1.07,0.139,338.9837166,-59.864829,-108.388,-84.4187,48.0883
TIC 279741379,Gaia DR2 4673947174316727040,7.78993,0.08,0.01164,31.93,,701,,2.515,21.8,0.01196,4640,0.69,0.73,-0.686,51.7501882,-63.500166,355.084,-247.46,16.32
TIC 283722336,Gaia DR2 2009481748875806976,3.092926,0.143,0.01491,6.34,0,1015,0.0358,0.945,,,4699,0.78,0.81,-0.577,348.3372026,57.1696255,2074.52,294.936,6.53127
TIC 283722336,Gaia DR2 2009481748875806976,6.76458,0.135,0.01372,6.95,0.062,782,0.0318,1.66,,,4699,0.78,0.81,-0.577,348.3372026,57.1696255,2074.52,294.936,6.53127
TIC 283722336,Gaia DR2 2009481748875806976,46.859,0.144,0.05088,,0.138,410,,,,,4699,0.78,0.81,-0.577,348.3372026,57.1696255,2074.52,294.936,6.53127
TIC 283722336,Gaia DR2 2009481748875806976,22.717,0.117,0.02297,,0.148,523,,,,,4699,0.78,0.81,-0.577,348.3372026,57.1696255,2074.52,294.936,6.53127
TIC 266980320,Gaia DR2 6492940453524576128,6.03607,0.42,0.05223,0.87,0,1073,,2.158,13.27,0.04192,5527,1.03,0.92,,349.5592665,-56.9039857,313.918,-20.1772,94.1719
TIC 441462736,Gaia DR2 2388463203438164096,14.2767,0.836,0.19,0.431,0.115,,,,8.97,0.02854,5080,2.94,1.21,0.712,353.0331863,-21.8012007,-96.7749,51.2399,95.5483
TIC 425997655,Gaia DR2 4674216245427964416,17.667087,0.178,0.02618,6.15,0.072,543,,2.67,37.1,0.02597,4684,0.71,0.67,-0.625,55.4590314,-62.7672667,-102.571,-43.917,39.0341
TIC 425997655,Gaia DR2 4674216245427964416,17.667,0.167,0.05638,,0,,0.0663,,,,,0.73,0.75,-0.636,55.4590314,-62.7672667,-102.571,-43.917,39.0341
TIC 425997655,Gaia DR2 4674216245427964416,29.625,0.192,0.05405,,0,,0.0627,,,,,0.73,0.75,-0.636,55.4590314,-62.7672667,-102.571,-43.917,39.0341
TIC 425997655,Gaia DR2 4674216245427964416,29.79749,0.167,0.01073,3.1,0.063,467,,2.94,50.2,0.0243,4684,0.71,0.67,-0.625,55.4590314,-62.7672667,-102.571,-43.917,39.0341
TIC 425997655,Gaia DR2 4674216245427964416,3.97664,0.067,0.00173,7.5,0.07,909,,1.99,13.29,0.00975,4684,0.71,0.67,-0.625,55.4590314,-62.7672667,-102.571,-43.917,39.0341
TIC 425997655,Gaia DR2 4674216245427964416,7.90754,0.073,0.00227,7.5,0.07,723,,2.48,21,0.01065,4684,0.71,0.67,-0.625,55.4590314,-62.7672667,-102.571,-43.917,39.0341
TIC 425997655,Gaia DR2 4674216245427964416,12.1621839,0.101,0.00242,3,0.07,630,,2.82,28,0.01478,4684,0.71,0.67,-0.625,55.4590314,-62.7672667,-102.571,-43.917,39.0341
TIC 307809773,Gaia DR2 3359074685047632640,2.76953,0.111,0.00673,6.2,0.039,709,,1.15,14.43,0.02586,3803,0.44,0.44,-1.44,99.2915429,17.5662696,-764.522,337.802,10.0055
TIC 307809773,Gaia DR2 3359074685047632640,5.70588,0.137,0.00972,4.7,0.038,557,,0.98,23.37,0.032,3803,0.44,0.44,-1.44,99.2915429,17.5662696,-764.522,337.802,10.0055
TIC 267263253,Gaia DR2 4684205720883329920,4.12688,1.44,1.17,,0.091,2061,,,7.6974,0.09467,6801,1.56,1.43,0.668,7.3289156,-76.304032,-2.97004,6.96121,196.852
TIC 29781292,Gaia DR2 4668163021600295552,22.89104,0.196,0.05819,,0.3307,881,0.0188,5.392,,0.01441,6120,1.45,1.26,,65.2383065,-68.1026875,22.0284,-10.4005,139.611
TIC 29781292,Gaia DR2 4668163021600295552,56.00819,0.377,0.02499,,0.1203,585,0.0834,8.973,,0.02632,6120,1.45,1.26,,65.2383065,-68.1026875,22.0284,-10.4005,139.611
TIC 29781292,Gaia DR2 4668163021600295552,84.25999,0.29,0.01787,,0.0864,506,0.0489,10.13,,0.01999,6120,1.45,1.26,,65.2383065,-68.1026875,22.0284,-10.4005,139.611
TIC 318707987,Gaia DR2 2554032474712538880,0.95965428,0.145,0.01488,5.5,0.1,1777,,1.609,4.45,0.01712,5300,0.87,0.85,-0.27,8.7401487,4.3807215,107.409,-173.293,47.2899
TIC 318707987,Gaia DR2 2554032474712538880,0.959632,0.14,0.0179,8,0,1759,,1.65,4.516,0.01728,5286,0.83,0.88,,8.7401487,4.3807215,107.409,-173.293,47.2899
TIC 318707987,Gaia DR2 2554032474712538880,0.959641,0.152,0.01579,5.6,0,,0.0294,1.622,4.082,0.01744,5261,0.86,0.86,,8.7401487,4.3807215,107.409,-173.293,47.2899
TIC 318707987,Gaia DR2 2554032474712538880,0.96,0.145,0.01759,7.2,,,,,,0.01692,5261,0.88,0.84,,8.7401487,4.3807215,107.409,-173.293,47.2899
TIC 318707987,Gaia DR2 2554032474712538880,29.84622,0.244,0.02621,2.21,0.05,548,,4.81,46.5,0.03006,5286,0.83,0.88,,8.7401487,4.3807215,107.409,-173.293,47.2899
TIC 318707987,Gaia DR2 2554032474712538880,29.8464948,0.261,0.03357,2.35,0.15,565,,4.869,44.01,0.03075,5300,0.87,0.85,-0.27,8.7401487,4.3807215,107.409,-173.293,47.2899
TIC 318707987,Gaia DR2 2554032474712538880,29.8454,0.269,0.03083,1.97,0.267,,0.0946,5.15,40.323,0.0313,5261,0.86,0.86,,8.7401487,4.3807215,107.409,-173.293,47.2899
TIC 199376584,Gaia DR2 2056007995732413312,18.71204,0.867,0.244,0.464,0.032,876,0.4867,6.156,24.21,0.06976,6089,1.28,1.13,0.305,306.741134,33.7443882,-36.8687,-14.6514,80.6665
TIC 263003176,Gaia DR2 4617759514501503616,14.339156,0.219,0.02454,2.9,0.08,943,,4.8,22.4,0.01874,6203,1.19,1.13,0.28,12.5467785,-83.7437671,139.424,30.4758,57.5846
TIC 453211454,Gaia DR2 3145754895088191744,9.058811,0.267,0.03398,2.2,0,911,,3.36,18.64,0.0285,5534,0.96,0.93,-0.098,117.9246417,9.3852412,-78.7966,-188.706,48.9739
TIC 453211454,Gaia DR2 3145754895088191744,21.4023,0.259,0.03492,2.5,0,684,,4.85,33.06,0.0277,5534,0.96,0.93,-0.098,117.9246417,9.3852412,-78.7966,-188.706,48.9739
TIC 101011575,Gaia DR2 5746824674801810816,6.398042,0.249,0.03209,2.58,0.09,714,,2.143,19.98,0.03932,4511,0.65,0.73,,129.6883026,-13.2565267,-63.8583,38.3741,31.5666
TIC 101011575,Gaia DR2 5746824674801810816,18.87974,0.213,0.03052,3.88,0.08,498,,3.67,41.11,0.03368,4511,0.65,0.73,,129.6883026,-13.2565267,-63.8583,38.3741,31.5666
TIC 457134360,Gaia DR2 1019003226022657920,111.4357,0.98,3.94,,0.9332,,,11.9,,0.103,,0.98,0.97,,140.6569501,50.6037764,55.9331,10.3396,66.4711
TIC 457134360,Gaia DR2 1019003226022657920,111.4367,1.003,4.116,5.06,0.93226,,,,,,5574,1.04,1.02,,140.6569501,50.6037764,55.9331,10.3396,66.4711
TIC 457134360,Gaia DR2 1019003226022657920,111.4367,1.003,4.114,5.08,,405,,,94.697,,5574,1.04,1.02,,140.6569501,50.6037764,55.9331,10.3396,66.4711
TIC 457134360,Gaia DR2 1019003226022657920,111.4367,1.07,4.38,,0.93,,1.1,,98.38,,5561,1.04,1.15,,140.6569501,50.6037764,55.9331,10.3396,66.4711
TIC 55315929,Gaia DR2 606477252238780160,0.719573,0.144,0.01762,7.4,,,,1.7976,2.92,0.0121,,1.22,1.18,0.24,140.3390845,14.3678691,-33.4626,-14.0076,109.86
TIC 22221375,Gaia DR2 5660492297395345408,3.98442,0.193,0.02281,3.97,0.075,1311,,3.12,10.11,,5863,1.05,1.02,0.072,149.1235154,-24.0991859,-177.111,46.8668,45.683
TIC 350020859,Gaia DR2 3877070590167177344,11.8143,0.648,0.121,0.547,0.22,1068,0.1477,5.7072,13.84,0.0384,5622,1.73,1.32,0.433,154.6710977,10.1288464,5.34758,-42.4488,132.345
TIC 350020859,Gaia DR2 3877070590167177344,11.81399,0.612,0.11232,0.609,0.203,1053,,,13.625,0.03779,5499,1.66,1.12,0.356,154.6710977,10.1288464,5.34758,-42.4488,132.345
TIC 350020859,Gaia DR2 3877070590167177344,11.8143,0.66,0.11,0.471,0.22,1089,0.1509,5.7336,13.11,0.0389,5576,1.75,1.16,0.425,154.6710977,10.1288464,5.34758,-42.4488,132.345
TIC 368435330,Gaia DR2 729899906357408768,1.0391353,0.12,0.02454,,,2042,0.01415,1.812,4.299,0.0119,5987,1.04,1.11,0.098,162.7766969,25.641065,-92.8386,-23.2169,82.3432
TIC 368435330,Gaia DR2 729899906357408768,3.6451398,0.288,0.06041,,,1344,0.08052,2.268,9.92,0.02838,5987,1.04,1.11,0.098,162.7766969,25.641065,-92.8386,-23.2169,82.3432
TIC 304142124,Gaia DR2 5340648488081462528,55.087,0.347,0.13353,3.98,0.197,385,,,64.676,,5212,0.87,0.83,-0.31,164.8563364,-56.6235564,-416.88,-119.71,36.9941
TIC 82308728,Gaia DR2 3997075206232885888,9.4903,0.2,0.024,3.9,0.078,757,0.0773,2.8488,,0.0278,5170,0.74,0.77,-0.45,168.6376584,25.7105962,-107.534,48.6618,21.5618
TIC 82308728,Gaia DR2 3997075206232885888,9.4909,0.209,0.02473,3.35,0.063,,0.0934,2.9712,24.36,0.0306,5119,0.7,0.75,,168.6376584,25.7105962,-107.534,48.6618,21.5618
TIC 82308728,Gaia DR2 3997075206232885888,9.4897116,0.189,0.02611,4.8,0.05,751,0.0712,,24.2,0.0267,5212,0.73,0.85,-0.455,168.6376584,25.7105962,-107.534,48.6618,21.5618
TIC 82308728,Gaia DR2 3997075206232885888,9.4909,0.21,0.02795,,0.06,,0.085,,24.41,,5175,0.74,0.89,,168.6376584,25.7105962,-107.534,48.6618,21.5618
TIC 422618449,Gaia DR2 2645940376800212096,9.1205,0.226,0.037,4.17,0.205,690,0.0967,,27.22,0.0311,5089,0.72,0.78,,353.9543517,0.4447043,-232.909,-187.564,62.4491
TIC 422618449,Gaia DR2 2645940376800212096,9.1205,0.22,0.04,,0.2,,0.097,,23.62,,5089,0.72,0.81,,353.9543517,0.4447043,-232.909,-187.564,62.4491
TIC 201248411,Gaia DR2 4923860051276772608,0.9809734,2.03,3.213,0.48,0,1411,8.2,0.78576,5.289,0.287,4590,0.72,0.78,-0.678,0.1856063,-54.8308228,-202.815,-71.5175,61.7856
